method,variant,seed,source,module_index,module_class,metric,value,notes
FCN + Residual-only,residual_only,2029,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_mean,0.002020906424149871,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2029,first_test_batch,0,ResidualOnlyBlock,depthwise_weight_std,0.9918148517608643,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2029,first_test_batch,1,ResidualOnlyBlock,alpha_value,0.47611477971076965,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2029,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_mean,0.004029470961540937,module input diagnostics collected with forward pre-hooks
FCN + Residual-only,residual_only,2029,first_test_batch,1,ResidualOnlyBlock,depthwise_weight_std,1.016461730003357,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,boundary_gate_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,boundary_gate_std,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,speckle_gate_mean,0.01799905300140381,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,speckle_gate_std,0.0004997827345505357,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,suppression_ratio,0.9981876015663147,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,combined_gate_mean,0.9981876015663147,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,combined_gate_std,5.0325197662459686e-05,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,local_high_descriptor_mean,0.2957831025123596,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,local_variance_proxy_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,multi_scale_consistency_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,alpha_value,0.4933665990829468,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,beta_value,0.10069401562213898,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,channel_gate_mean,0.3216032385826111,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,channel_gate_std,0.3374687433242798,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,freq_init,random,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,depthwise_weight_mean,0.0011758055770769715,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,0,FADCGV2dAblation,depthwise_weight_std,1.0034013986587524,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,1,FADCGV2dAblation,boundary_gate_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,1,FADCGV2dAblation,boundary_gate_std,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2027,first_test_batch,1,FADCGV2dAblation,speckle_gate_mean,0.017963163554668427,module input diagnostics collected with forward pre-hooks
